PR Number,Title,Created At,Updated At,State,Files Changed,Total Comments,Decision Time,URL,Type of Change,LOC Changed,Closed Date,Integration,Author
99901,Add integration EyeOnWater,2023-09-08 04:39:48+00:00,2023-12-16 11:01:50+00:00,closed,11,7,98,https://github.com/home-assistant/core/pull/99901,New integration (thank you!),453,2023-12-15T10:05:11Z,eyeonwater,disforw
48042,Add new Bitvavo integration,2021-03-17 19:51:16+00:00,2021-07-22 10:01:46+00:00,closed,18,46,125,https://github.com/home-assistant/core/pull/48042,New integration (thank you!),1055,2021-07-21T09:30:30Z,bitvavo,cyberjunky
90095,Add support for solvis heating via solvis remote sc2_val.xml,2023-03-22 09:04:59+00:00,2023-04-20 09:01:59+00:00,closed,20,22,27,https://github.com/home-assistant/core/pull/90095,New integration (thank you!),1003,2023-04-19T06:35:35Z,solvis_heating,Lurchi70
53821,PCF8574,2021-08-01 07:24:41+00:00,2021-11-11 23:01:48+00:00,closed,14,29,101,https://github.com/home-assistant/core/pull/53821,New integration (thank you!),485,2021-11-10T22:04:56Z,pcf8574,aSauerwein
106132,New Integration: WeatherFlow Cloud Data (Forecast),2023-12-20 20:42:34+00:00,2023-12-30 00:10:46+00:00,closed,16,27,8,https://github.com/home-assistant/core/pull/106132,New integration (thank you!),429,2023-12-28T23:04:20Z,weatherflow_cloud,jeeftor
113940,Add LinkPlay integration,2024-03-21 15:27:09+00:00,2024-09-10 12:53:37+00:00,merged,18,66,125,https://github.com/home-assistant/core/pull/113940,New integration (thank you!),731,2024-07-25T10:27:10Z,linkplay,dukeofphilberg
107498,Update growatt server url,2024-01-07 21:18:26+00:00,2024-02-08 10:02:24+00:00,closed,1,0,30,https://github.com/home-assistant/core/pull/107498,New integration (thank you!),2,2024-02-07T09:11:47Z,growatt_server,mesikas1
59234,Add Balboa Spa integration,2021-11-06 13:56:18+00:00,2021-12-01 16:07:14+00:00,merged,17,123,19,https://github.com/home-assistant/core/pull/59234,New integration (thank you!),1182,2021-11-25T18:04:06Z,balboa,garbled1
81943,Add `datetime` platform,2022-11-11 06:32:40+00:00,2023-05-30 22:01:48+00:00,merged,17,18,199,https://github.com/home-assistant/core/pull/81943,New integration (thank you!),498,2023-05-29T21:24:15Z,,
85986,ReadYourMeter Pro integration,2023-01-16 06:13:15+00:00,2023-01-26 18:12:04+00:00,merged,14,28,8,https://github.com/home-assistant/core/pull/85986,New integration (thank you!),504,2023-01-24T20:41:34Z,rympro,OnFreund
94618,Add SMA Manager Integration,2023-06-14 21:53:23+00:00,2024-04-29 04:01:50+00:00,closed,7,48,318,https://github.com/home-assistant/core/pull/94618,New integration (thank you!),477,2024-04-28T03:05:51Z,sma_manager,DEADSEC-SECURITY
89315,Add monessen virtual integration for Intellifire,2023-03-07 20:43:07+00:00,2023-04-25 00:14:36+00:00,merged,3,0,40,https://github.com/home-assistant/core/pull/89315,New integration (thank you!),12,2023-04-17T08:03:38Z,monessen,jeeftor
70361,Add new integration to control Electra Smart HVAC devices,2022-04-21 08:41:13+00:00,2024-07-28 07:19:30+00:00,merged,21,7,394,https://github.com/home-assistant/core/pull/70361,New integration (thank you!),832,2023-05-20T10:13:32Z,electraac,jafar-atili
85969,Add Dremel 3D Printer integration,2023-01-15 20:56:37+00:00,2023-06-01 22:01:44+00:00,merged,21,14,135,https://github.com/home-assistant/core/pull/85969,New integration (thank you!),910,2023-05-31T20:55:57Z,dremel_3d_printer,tkdrob
83561,New Integration: Honeygain,2022-12-08 16:12:04+00:00,2023-12-04 17:02:36+00:00,closed,14,24,359,https://github.com/home-assistant/core/pull/83561,New integration (thank you!),463,2023-12-03T16:05:11Z,honeygain,SplinterHead
55270,Add GCE Eco-Devices integration,2021-08-26 13:01:00+00:00,2022-06-04 23:01:58+00:00,closed,13,8,281,https://github.com/home-assistant/core/pull/55270,New integration (thank you!),1344,2022-06-03T22:05:13Z,ecodevices,Aohzan
66519,Azure data explorer,2022-02-14 15:40:09+00:00,2022-04-01 13:16:50+00:00,closed,17,107,44,https://github.com/home-assistant/core/pull/66519,New integration (thank you!),4342,2022-03-31T12:14:37Z,azure_data_explorer,kaareseras
81972,New Heatzy component,2022-11-11 16:53:42+00:00,2023-04-12 17:02:05+00:00,closed,16,24,150,https://github.com/home-assistant/core/pull/81972,New integration (thank you!),617,2023-04-11T16:05:48Z,,
46005,Spokestack TTS platform,2021-02-04 18:23:51+00:00,2021-11-30 23:01:50+00:00,closed,12,45,298,https://github.com/home-assistant/core/pull/46005,New integration (thank you!),439,2021-11-29T22:28:17Z,spokestack,will-rice
79652,Add Flexit BACnet integration,2022-10-05 13:35:50+00:00,2022-12-18 17:01:43+00:00,closed,16,2,73,https://github.com/home-assistant/core/pull/79652,New integration (thank you!),456,2022-12-17T16:20:00Z,,
104725,Add Epic Games Store integration,2023-11-29 14:53:18+00:00,2024-04-23 10:01:44+00:00,merged,26,31,144,https://github.com/home-assistant/core/pull/104725,New integration (thank you!),5125,2024-04-22T07:54:47Z,epic_games_store,Quentame
104319,Add DROP integration,2023-11-21 15:52:11+00:00,2023-12-23 17:01:47+00:00,merged,20,233,30,https://github.com/home-assistant/core/pull/104319,New integration (thank you!),1411,2023-12-22T13:24:09Z,drop,pfrazer
89314,Add majestic virtual integration for Intellifire,2023-03-07 20:41:47+00:00,2023-06-13 23:01:45+00:00,closed,2,0,97,https://github.com/home-assistant/core/pull/89314,New integration (thank you!),11,2023-06-12T22:05:26Z,majestic,jeeftor
55620,Add ta_cmi integration,2021-09-02 22:25:41+00:00,2022-09-28 10:02:22+00:00,closed,18,3,389,https://github.com/home-assistant/core/pull/55620,New integration (thank you!),1456,2022-09-27T09:46:49Z,ta_cmi,DeerMaximum
98663,Flexit bacnet integration,2023-08-19 07:14:20+00:00,2023-11-29 11:15:17+00:00,closed,18,0,101,https://github.com/home-assistant/core/pull/98663,New integration (thank you!),1051,2023-11-28T10:15:18Z,flexit_bacnet,Kazhuu
76190,Add Aqara,2022-08-04 06:43:45+00:00,2023-08-17 09:01:58+00:00,closed,31,0,377,https://github.com/home-assistant/core/pull/76190,New integration (thank you!),23132,2023-08-16T08:05:32Z,,
95006,EnergyID integration,2023-06-21 17:52:39+00:00,2024-01-22 13:03:46+00:00,closed,15,16,213,https://github.com/home-assistant/core/pull/95006,New integration (thank you!),618,2024-01-21T12:06:24Z,energyid,JrtPec
99573,Add microBees integration,2023-09-04 09:55:48+00:00,2024-04-02 11:02:20+00:00,merged,23,169,168,https://github.com/home-assistant/core/pull/99573,New integration (thank you!),1012,2024-02-19T14:12:03Z,microBees,marcolettieri
45071,Add avreceiver,2021-01-12 05:44:12+00:00,2021-08-15 14:01:54+00:00,closed,17,33,214,https://github.com/home-assistant/core/pull/45071,New integration (thank you!),1203,2021-08-14T13:07:24Z,avreceiver,JPHutchins
70080,Add new integration Loqed,2022-04-15 08:52:34+00:00,2023-06-29 11:02:03+00:00,merged,28,181,438,https://github.com/home-assistant/core/pull/70080,New integration (thank you!),1154,2023-06-28T07:42:12Z,loqed,cpolhout
48558,Add Modbus fan integration,2021-03-31 19:43:32+00:00,2021-05-22 10:34:08+00:00,merged,4,21,50,https://github.com/home-assistant/core/pull/48558,New integration (thank you!),487,2021-05-21T07:56:47Z,modbus,vzahradnik
120087,Add IoTMeter integration,2024-06-21 11:26:20+00:00,2024-10-28 16:02:17+00:00,closed,15,29,128,https://github.com/home-assistant/core/pull/120087,New integration (thank you!),853,2024-10-27T15:05:16Z,iotmeter,lipic
81149,Add electric kiwi integration,2022-10-28 17:32:47+00:00,2023-07-26 11:01:52+00:00,merged,22,56,269,https://github.com/home-assistant/core/pull/81149,New integration (thank you!),806,2023-07-25T08:46:54Z,,
95613,Add Mypermobil integration,2023-06-30 09:21:37+00:00,2023-11-25 17:01:37+00:00,merged,17,184,147,https://github.com/home-assistant/core/pull/95613,New integration (thank you!),944,2023-11-24T09:41:00Z,permobil,IsakNyberg
63736,Add vartastorage integration,2022-01-09 13:47:30+00:00,2024-02-19 09:02:48+00:00,closed,0,95,769,https://github.com/home-assistant/core/pull/63736,New integration (thank you!),0,2024-02-18T08:28:39Z,vartastorage,Vip0r
103566,Add reply_to_message_id to all telegram_bot message types,2023-11-07 06:47:19+00:00,2023-11-15 16:01:46+00:00,merged,1,0,7,https://github.com/home-assistant/core/pull/103566,New integration (thank you!),9,2023-11-14T15:41:14Z,telegram_bot,TheKalpit
55619,Add TOLO Sauna (tolo) integration,2021-09-02 21:53:26+00:00,2021-11-27 10:04:23+00:00,merged,17,98,82,https://github.com/home-assistant/core/pull/55619,New integration (thank you!),560,2021-11-24T19:45:13Z,tolosauna,MatthiasLohr
67929,Glinet router support,2022-03-09 20:54:37+00:00,2022-06-25 22:02:00+00:00,closed,13,31,107,https://github.com/home-assistant/core/pull/67929,New integration (thank you!),833,2022-06-24T21:05:23Z,glinet,HarvsG
77055,Add new integration mhtzn,2022-08-20 02:43:51+00:00,2022-09-04 03:47:24+00:00,closed,13,12,14,https://github.com/home-assistant/core/pull/77055,New integration (thank you!),1259,2022-09-03T03:00:48Z,,
47370,Spokestack Wakeword Integration,2021-03-04 14:17:12+00:00,2021-11-08 16:06:21+00:00,closed,14,5,248,https://github.com/home-assistant/core/pull/47370,New integration (thank you!),310,2021-11-07T15:52:05Z,spokestack_wakeword,will-rice
120802,Integration for IronOS (Pinecil V2) soldering irons,2024-06-29 03:39:52+00:00,2024-07-30 10:01:59+00:00,merged,20,26,30,https://github.com/home-assistant/core/pull/120802,New integration (thank you!),1581,2024-07-29T09:44:01Z,pinecil,tr4nt0r
47204,Ensure HA script and Python script services have a name,2021-02-28 23:34:27+00:00,2021-04-01 14:02:04+00:00,merged,7,1,30,https://github.com/home-assistant/core/pull/47204,New integration (thank you!),44,2021-03-31T13:09:45Z,,spacegaier
45749,Add Vorwerk integration,2021-01-30 16:45:59+00:00,2023-01-18 15:02:00+00:00,closed,14,70,716,https://github.com/home-assistant/core/pull/45749,New integration (thank you!),1199,2023-01-17T14:56:39Z,vorwerk,trunneml
50196,Add GCE Eco-Devices integration,2021-05-06 20:24:11+00:00,2021-08-25 14:16:24+00:00,closed,259,0,109,https://github.com/home-assistant/core/pull/50196,New integration (thank you!),8954,2021-08-24T12:50:03Z,ecodevices,Aohzan
93837,Add OVOS/Neon Voice Assistants integration,2023-05-31 02:03:50+00:00,2023-10-07 17:01:34+00:00,closed,12,3,128,https://github.com/home-assistant/core/pull/93837,New integration (thank you!),255,2023-10-06T16:27:35Z,ovos,mikejgray
88272,Sun WEG integration,2023-02-16 20:56:25+00:00,2023-12-19 14:01:54+00:00,merged,21,64,295,https://github.com/home-assistant/core/pull/88272,New integration (thank you!),1050,2023-12-09T08:45:40Z,sunweg,rokam
45628,ELV USB WDE1 integration,2021-01-28 00:18:18+00:00,2021-07-21 19:02:18+00:00,closed,11,0,173,https://github.com/home-assistant/core/pull/45628,New integration (thank you!),230,2021-07-20T18:39:39Z,elv_usb_wde,mccrab
51617,Add tuya v2 integration,2021-06-08 08:56:13+00:00,2021-07-09 10:08:22+00:00,closed,21,0,30,https://github.com/home-assistant/core/pull/51617,New integration (thank you!),2693,2021-07-08T09:42:42Z,,tsutsuku
44751,Add AI Speaker integration,2021-01-01 22:59:20+00:00,2021-01-30 12:08:22+00:00,closed,13,78,27,https://github.com/home-assistant/core/pull/44751,New integration (thank you!),405,2021-01-29T07:45:14Z,ai_speaker,asystentka-jolka
93580,Add Trello integration,2023-05-26 04:46:27+00:00,2024-09-28 12:03:33+00:00,closed,22,108,490,https://github.com/home-assistant/core/pull/93580,New integration (thank you!),782,2024-09-27T11:53:37Z,trello,ScottG489
72946,ESPHome humidifier,2022-06-03 01:37:21+00:00,2022-10-13 18:07:59+00:00,closed,5,0,131,https://github.com/home-assistant/core/pull/72946,New integration (thank you!),187,2022-10-12T17:19:38Z,,
45499,Add GCE Eco-Devices integration,2021-01-24 17:06:15+00:00,2021-05-07 21:01:48+00:00,closed,0,19,102,https://github.com/home-assistant/core/pull/45499,New integration (thank you!),0,2021-05-06T20:02:19Z,ecodevices,Aohzan
86921,Add onetracker integration,2023-01-29 22:32:17+00:00,2023-03-08 18:02:07+00:00,closed,18,7,36,https://github.com/home-assistant/core/pull/86921,New integration (thank you!),641,2023-03-07T17:47:48Z,onetracker,packruler
81949,Add `time` platform,2022-11-11 07:48:33+00:00,2023-05-02 12:02:11+00:00,merged,13,17,170,https://github.com/home-assistant/core/pull/81949,New integration (thank you!),348,2023-04-30T20:33:52Z,,
106029,Implement TechnoVE integration,2023-12-19 05:19:14+00:00,2024-01-18 11:01:59+00:00,merged,22,77,29,https://github.com/home-assistant/core/pull/106029,New integration (thank you!),1374,2024-01-17T10:04:35Z,technove,Moustachauve
82391,Add integration for Kostal Piko solar inverters,2022-11-19 21:35:54+00:00,2023-12-17 17:05:29+00:00,closed,15,36,391,https://github.com/home-assistant/core/pull/82391,New integration (thank you!),1050,2023-12-16T16:05:18Z,,
45672,Ebus support,2021-01-28 21:25:17+00:00,2021-09-14 21:01:54+00:00,closed,15,5,227,https://github.com/home-assistant/core/pull/45672,New integration (thank you!),958,2021-09-13T20:05:09Z,ebus,c0fec0de
114650,Add Senziio core integration,2024-04-02 15:50:10+00:00,2024-06-06 19:02:24+00:00,closed,18,13,64,https://github.com/home-assistant/core/pull/114650,New integration (thank you!),1239,2024-06-05T18:36:51Z,senziio,fzuccolo
76575,Add Keymitt BLE integration,2022-08-10 21:57:28+00:00,2022-10-08 07:04:59+00:00,merged,19,129,42,https://github.com/home-assistant/core/pull/76575,New integration (thank you!),788,2022-09-22T01:44:37Z,,
68755,Add QR Code Generator,2022-03-27 19:58:36+00:00,2022-09-27 09:57:34+00:00,closed,17,0,164,https://github.com/home-assistant/core/pull/68755,New integration (thank you!),1007,2022-09-08T00:23:48Z,qr_generator,DeerMaximum
84443,Seitron integration,2022-12-22 14:15:29+00:00,2023-04-20 21:01:51+00:00,closed,17,33,118,https://github.com/home-assistant/core/pull/84443,New integration (thank you!),428,2023-04-19T20:05:26Z,seitron,seitronspa
75585,Add Sutro integration,2022-07-21 17:48:33+00:00,2023-02-05 15:01:39+00:00,closed,13,28,197,https://github.com/home-assistant/core/pull/75585,New integration (thank you!),631,2023-02-04T14:04:48Z,,
83886,Add EnergyZero integration,2022-12-13 00:16:53+00:00,2023-01-04 22:01:59+00:00,merged,20,52,21,https://github.com/home-assistant/core/pull/83886,New integration (thank you!),1029,2023-01-03T21:28:16Z,energyzero,klaasnicolaas
85977,Add iNELS integration,2023-01-15 23:56:07+00:00,2023-03-11 13:04:10+00:00,closed,20,4,53,https://github.com/home-assistant/core/pull/85977,New integration (thank you!),1773,2023-03-10T12:23:38Z,inels,jpbaltazar
71523,New integration for IDS Hyyp Alarms,2022-05-08 10:43:00+00:00,2023-01-11 07:01:50+00:00,closed,17,0,246,https://github.com/home-assistant/core/pull/71523,New integration (thank you!),826,2023-01-10T04:05:56Z,ids_hyyp,RenierM26
86923,Add SWS12500 Weather Station integration,2023-01-29 23:08:26+00:00,2023-11-30 11:04:46+00:00,closed,0,17,303,https://github.com/home-assistant/core/pull/86923,New integration (thank you!),0,2023-11-29T10:10:56Z,sws12500,schizza
71113,Add elro_connects integration,2022-04-30 13:40:19+00:00,2022-11-10 08:02:11+00:00,closed,20,5,192,https://github.com/home-assistant/core/pull/71113,New integration (thank you!),1273,2022-11-09T07:46:17Z,elro_connects,jbouwh
45274,Add Barry,2021-01-17 19:26:29+00:00,2022-07-01 05:13:26+00:00,closed,14,71,528,https://github.com/home-assistant/core/pull/45274,New integration (thank you!),374,2022-06-30T04:32:05Z,barry,YashYKhatri
48169,Allow specifying template entities based on triggers,2021-03-20 22:56:42+00:00,2021-03-30 17:19:34+00:00,merged,6,16,8,https://github.com/home-assistant/core/pull/48169,New integration (thank you!),472,2021-03-29T16:57:51Z,trigger,balloob
103795,Add Holiday integration,2023-11-11 15:14:22+00:00,2023-12-13 11:02:31+00:00,merged,18,141,22,https://github.com/home-assistant/core/pull/103795,New integration (thank you!),716,2023-12-03T15:28:54Z,holiday,jrieger
67817,Create iAlarmXR integration,2022-03-07 18:49:03+00:00,2022-05-27 12:23:25+00:00,merged,18,83,78,https://github.com/home-assistant/core/pull/67817,New integration (thank you!),674,2022-05-25T08:52:06Z,ialarmxr,bigmoby
118675,New Integration: SMLIGHT SLZB-06 Adapters Integration,2024-06-03 05:29:41+00:00,2024-09-06 02:48:53+00:00,merged,23,124,78,https://github.com/home-assistant/core/pull/118675,New integration (thank you!),1871,2024-08-20T08:44:06Z,smlight,tl-sl
50663,Add Heatzy integration,2021-05-15 12:01:47+00:00,2021-09-21 17:05:38+00:00,closed,13,23,128,https://github.com/home-assistant/core/pull/50663,New integration (thank you!),465,2021-09-20T16:09:42Z,heatzy,cyr-ius
100110,Add FlexMeasures integration,2023-09-11 08:35:33+00:00,2024-06-02 18:01:53+00:00,closed,22,43,264,https://github.com/home-assistant/core/pull/100110,New integration (thank you!),1126,2024-06-01T17:05:42Z,flexmeasures,GustaafL
82483,Add bluecurrent integration,2022-11-21 13:57:23+00:00,2023-12-31 15:01:39+00:00,merged,18,121,396,https://github.com/home-assistant/core/pull/82483,New integration (thank you!),1268,2023-12-22T15:34:17Z,,
45915,Add Rako Integration,2021-02-03 18:20:43+00:00,2023-03-08 20:39:43+00:00,closed,21,33,763,https://github.com/home-assistant/core/pull/45915,New integration (thank you!),814,2023-03-08T20:39:42Z,rako,marengaz
102165,Add olarm sensors,2023-10-17 13:24:16+00:00,2023-12-31 09:01:45+00:00,closed,16,6,73,https://github.com/home-assistant/core/pull/102165,New integration (thank you!),1673,2023-12-30T08:04:56Z,olarm_sensors,rainepretorius
77249,Add inels integration,2022-08-24 09:21:58+00:00,2023-03-11 12:02:06+00:00,closed,26,14,198,https://github.com/home-assistant/core/pull/77249,New integration (thank you!),1807,2023-03-10T11:59:42Z,,
118012,Add duwi integration,2024-05-24 05:54:11+00:00,2024-10-29 09:02:07+00:00,closed,13,0,157,https://github.com/home-assistant/core/pull/118012,New integration (thank you!),1454,2024-10-28T08:07:33Z,duwi,duwi2024
101612,Allpowers support,2023-10-07 20:22:01+00:00,2024-02-06 00:05:56+00:00,closed,17,3,120,https://github.com/home-assistant/core/pull/101612,New integration (thank you!),679,2024-02-04T23:12:23Z,allpowers_ble,madninjaskillz
99607,Add switchbot cloud integration,2023-09-04 13:47:03+00:00,2023-09-17 15:01:51+00:00,merged,22,115,12,https://github.com/home-assistant/core/pull/99607,New integration (thank you!),627,2023-09-16T14:00:42Z,switchbot_cloud,SeraphicRav
93750,Add romy vacuum integration,2023-05-29 18:07:04+00:00,2024-02-01 10:01:49+00:00,merged,18,193,246,https://github.com/home-assistant/core/pull/93750,New integration (thank you!),683,2024-01-31T09:48:44Z,romy,xeniter
51002,Add tractive integration,2021-05-23 15:23:38+00:00,2021-08-06 12:01:55+00:00,merged,14,30,73,https://github.com/home-assistant/core/pull/51002,New integration (thank you!),525,2021-08-05T10:47:42Z,tractive,zhulik
63637,Add Intellifire Gas Fireplace integration,2022-01-07 21:19:36+00:00,2022-01-22 08:01:47+00:00,merged,15,99,12,https://github.com/home-assistant/core/pull/63637,New integration (thank you!),453,2022-01-20T09:01:04Z,intellifire,jeeftor
104119,Add LinknLink integration,2023-11-17 09:29:00+00:00,2024-01-05 06:01:52+00:00,closed,0,20,47,https://github.com/home-assistant/core/pull/104119,New integration (thank you!),0,2024-01-04T03:41:05Z,linknlink,xuanxuan000
87063,Add smartenergy_goecharger integration,2023-02-01 07:55:13+00:00,2023-02-09 10:01:55+00:00,closed,18,0,7,https://github.com/home-assistant/core/pull/87063,New integration (thank you!),1398,2023-02-08T09:07:31Z,smartenergy_goecharger,IngmarM
61677,Add WalkingPad integration,2021-12-13 12:03:46+00:00,2022-03-25 04:01:58+00:00,closed,15,0,100,https://github.com/home-assistant/core/pull/61677,New integration (thank you!),929,2022-03-24T03:10:26Z,walkingpad,evgeniavolkova
74893,Add Pylontech integration,2022-07-10 16:43:15+00:00,2023-04-30 14:01:54+00:00,closed,16,9,292,https://github.com/home-assistant/core/pull/74893,New integration (thank you!),983,2023-04-29T13:25:02Z,,
53689,Add new Bitvavo integration,2021-07-29 12:23:37+00:00,2023-01-22 16:03:24+00:00,closed,17,17,541,https://github.com/home-assistant/core/pull/53689,New integration (thank you!),973,2023-01-21T15:05:23Z,bitvavo,cyberjunky
100289,Add Medcom Bluetooth integration,2023-09-13 12:34:37+00:00,2023-09-27 19:01:32+00:00,merged,16,62,13,https://github.com/home-assistant/core/pull/100289,New integration (thank you!),738,2023-09-26T18:41:35Z,medcom_ble,elafargue
